generation,best_fitness,mean_fitness,mutation_std
1,4810.3818359375,117.0429458618164,0.1
2,2853.115966796875,108.9322280883789,0.10200000000000001
3,4839.8740234375,362.01055908203125,0.09996000000000001
4,5842.56982421875,368.4952697753906,0.10195920000000001
5,6849.02197265625,304.3590087890625,0.10399838400000001
6,7965.10595703125,455.2754821777344,0.10607835168000002
7,7985.77197265625,471.10504150390625,0.10819991871360002
8,7934.41015625,500.6822204589844,0.11036391708787202
9,5915.24609375,466.4851989746094,0.10815663874611457
10,7917.76416015625,849.2764892578125,0.10599350597119228
11,6955.31005859375,794.0674438476562,0.10387363585176844
12,6964.2998046875,1031.916748046875,0.10179616313473307
13,7981.7861328125,1846.026611328125,0.0997602398720384
